,CoopPunishOpp,BullyOpp,AllColor,AllShapePunish,CoopGreedy,Random,BullyPunishOpp,GreedyNeg
0,53.275,31.8125,-3.425,-2.8125,45.7875,45.8,10.6875,1.7625
1,29.35,34.6625,36.0625,-3.05,11.8125,23.9375,8.1875,24.0375
2,25.4,21.15,22.625,-3.3,20.1875,9.0125,3.3625,7.7625
3,8.5625,-7.4,6.875,5.2125,26.1125,68.1375,10.8125,22.65
4,18.8375,-6.0375,20.3,20.0375,43.7125,41.95,3.0875,7.9625
5,35.1375,19.9625,4.425,-3.0375,31.375,17.5,5.7625,-1.9625
6,-9.1875,37.75,23.7,-4.3875,26.825,39.075,-13.05,29.0625
7,2.3,21.65,20.8375,63.6125,33.5375,65.2875,14.1375,30.8125
8,41.4875,29.1375,32.7,43.8125,34.8125,64.025,12.9375,23.0
9,40.8875,18.8125,7.575,71.6,71.0125,31.8125,11.075,25.25
