,Unnamed: 0,Rewards,Agent
0,0,93,Algaater
1,1,91,Algaater
2,2,92,Algaater
3,3,106,Algaater
4,4,100,Algaater
5,5,99,Algaater
6,6,114,Algaater
7,7,120,Algaater
8,8,88,Algaater
9,9,82,Algaater
10,10,-84,Algaater
11,11,-107,Algaater
12,12,-92,Algaater
13,13,-91,Algaater
14,14,-79,Algaater
15,15,-81,Algaater
16,16,-72,Algaater
17,17,-105,Algaater
18,18,-97,Algaater
19,19,-87,Algaater
20,20,-79,Algaater
21,21,-91,Algaater
22,22,-84,Algaater
23,23,-103,Algaater
24,24,-91,Algaater
25,25,-77,Algaater
26,26,-101,Algaater
27,27,-105,Algaater
28,28,-91,Algaater
29,29,-100,Algaater
30,30,28,Algaater
31,31,34,Algaater
32,32,60,Algaater
33,33,88,Algaater
34,34,32,Algaater
35,35,129,Algaater
36,36,34,Algaater
37,37,22,Algaater
38,38,44,Algaater
39,39,34,Algaater
40,40,50,Algaater
41,41,71,Algaater
42,42,108,Algaater
43,43,212,Algaater
44,44,45,Algaater
45,45,34,Algaater
46,46,144,Algaater
47,47,75,Algaater
48,48,62,Algaater
49,49,44,Algaater
50,50,89,Algaater
51,51,167,Algaater
52,52,162,Algaater
53,53,178,Algaater
54,54,123,Algaater
55,55,187,Algaater
56,56,102,Algaater
57,57,95,Algaater
58,58,122,Algaater
59,59,121,Algaater
60,60,77,Algaater
61,61,82,Algaater
62,62,88,Algaater
63,63,75,Algaater
64,64,80,Algaater
65,65,65,Algaater
66,66,77,Algaater
67,67,78,Algaater
68,68,84,Algaater
69,69,71,Algaater
70,0,92,BBL
71,1,107,BBL
72,2,125,BBL
73,3,107,BBL
74,4,111,BBL
75,5,111,BBL
76,6,120,BBL
77,7,112,BBL
78,8,109,BBL
79,9,113,BBL
80,10,-49,BBL
81,11,-54,BBL
82,12,-41,BBL
83,13,-54,BBL
84,14,-53,BBL
85,15,-48,BBL
86,16,-77,BBL
87,17,-63,BBL
88,18,-50,BBL
89,19,-39,BBL
90,20,-58,BBL
91,21,-64,BBL
92,22,-56,BBL
93,23,-54,BBL
94,24,-62,BBL
95,25,-59,BBL
96,26,-53,BBL
97,27,-55,BBL
98,28,-63,BBL
99,29,-58,BBL
100,30,143,BBL
101,31,137,BBL
102,32,23,BBL
103,33,57,BBL
104,34,75,BBL
105,35,71,BBL
106,36,66,BBL
107,37,93,BBL
108,38,93,BBL
109,39,53,BBL
110,40,115,BBL
111,41,236,BBL
112,42,200,BBL
113,43,253,BBL
114,44,128,BBL
115,45,136,BBL
116,46,152,BBL
117,47,242,BBL
118,48,145,BBL
119,49,244,BBL
120,50,177,BBL
121,51,140,BBL
122,52,165,BBL
123,53,180,BBL
124,54,123,BBL
125,55,149,BBL
126,56,197,BBL
127,57,156,BBL
128,58,185,BBL
129,59,170,BBL
130,60,75,BBL
131,61,71,BBL
132,62,74,BBL
133,63,73,BBL
134,64,80,BBL
135,65,81,BBL
136,66,75,BBL
137,67,83,BBL
138,68,76,BBL
139,69,70,BBL
140,0,87,EEE
141,1,92,EEE
142,2,96,EEE
143,3,48,EEE
144,4,105,EEE
145,5,90,EEE
146,6,104,EEE
147,7,99,EEE
148,8,100,EEE
149,9,85,EEE
150,10,-65,EEE
151,11,-65,EEE
152,12,-78,EEE
153,13,-88,EEE
154,14,-85,EEE
155,15,-77,EEE
156,16,-89,EEE
157,17,-78,EEE
158,18,-69,EEE
159,19,-76,EEE
160,20,-65,EEE
161,21,-78,EEE
162,22,-83,EEE
163,23,-69,EEE
164,24,-85,EEE
165,25,-69,EEE
166,26,-75,EEE
167,27,-74,EEE
168,28,-78,EEE
169,29,-94,EEE
170,30,104,EEE
171,31,98,EEE
172,32,99,EEE
173,33,74,EEE
174,34,73,EEE
175,35,10,EEE
176,36,106,EEE
177,37,102,EEE
178,38,83,EEE
179,39,41,EEE
180,40,220,EEE
181,41,202,EEE
182,42,229,EEE
183,43,207,EEE
184,44,194,EEE
185,45,247,EEE
186,46,190,EEE
187,47,161,EEE
188,48,209,EEE
189,49,122,EEE
190,50,171,EEE
191,51,210,EEE
192,52,191,EEE
193,53,100,EEE
194,54,182,EEE
195,55,150,EEE
196,56,108,EEE
197,57,191,EEE
198,58,155,EEE
199,59,161,EEE
200,60,79,EEE
201,61,91,EEE
202,62,4,EEE
203,63,43,EEE
204,64,18,EEE
205,65,-7,EEE
206,66,76,EEE
207,67,7,EEE
208,68,19,EEE
209,69,110,EEE
210,0,92,S++
211,1,100,S++
212,2,106,S++
213,3,118,S++
214,4,95,S++
215,5,114,S++
216,6,90,S++
217,7,102,S++
218,8,106,S++
219,9,81,S++
220,10,-49,S++
221,11,-117,S++
222,12,-160,S++
223,13,-169,S++
224,14,-85,S++
225,15,-83,S++
226,16,-52,S++
227,17,-139,S++
228,18,-91,S++
229,19,-118,S++
230,20,-155,S++
231,21,-102,S++
232,22,-84,S++
233,23,-132,S++
234,24,-95,S++
235,25,-101,S++
236,26,-102,S++
237,27,-114,S++
238,28,-81,S++
239,29,-97,S++
240,30,29,S++
241,31,158,S++
242,32,45,S++
243,33,93,S++
244,34,107,S++
245,35,23,S++
246,36,124,S++
247,37,70,S++
248,38,96,S++
249,39,51,S++
250,40,222,S++
251,41,170,S++
252,42,235,S++
253,43,245,S++
254,44,92,S++
255,45,261,S++
256,46,135,S++
257,47,196,S++
258,48,232,S++
259,49,219,S++
260,50,128,S++
261,51,155,S++
262,52,134,S++
263,53,187,S++
264,54,118,S++
265,55,199,S++
266,56,205,S++
267,57,221,S++
268,58,143,S++
269,59,191,S++
270,60,81,S++
271,61,69,S++
272,62,92,S++
273,63,66,S++
274,64,72,S++
275,65,79,S++
276,66,78,S++
277,67,83,S++
278,68,63,S++
279,69,63,S++
